id,type,e_0,e_1,e_2,e_3,e_4,e_5,e_6,e_7,e_8,e_9,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_30,e_31
380,tanh(x),0.0174098,-0.190782,-0.377712,0.451925,-0.168472,0.185024,0.65778,0.0609035,0.0152712,-0.0935897,0.241185,-0.558241,0.446789,0.240626,0.0494412,-0.0968279,-0.68989,0.191628,0.140078,-0.85615,-0.35705,-0.077888,0.395897,1.02992,-0.14773,0.125077,-0.00281565,0.349198,-0.179764,-0.336978,0.0717726,-0.182543
90,tanh(x),-0.0453413,-0.186928,-0.39563,0.429294,-0.113426,0.186555,0.658397,0.0233706,-0.0407307,-0.15888,0.20983,-0.564877,0.437166,0.207799,0.0449899,-0.179027,-0.65029,0.135488,0.16926,-0.867792,-0.372455,-0.0234789,0.437214,1.04636,-0.117481,0.113946,-0.0351062,0.360087,-0.147847,-0.297067,0.0451619,-0.15136
178,tanh(x),0.0360811,-0.179274,-0.384146,0.459992,-0.166206,0.166941,0.666638,0.0790916,0.0142407,-0.0659577,0.280378,-0.561083,0.452801,0.26269,0.0594698,-0.0562814,-0.744761,0.196695,0.142072,-0.880618,-0.376767,-0.0874505,0.424778,1.03922,-0.151289,0.10608,0.00864632,0.342286,-0.218723,-0.326176,0.0734545,-0.174616
547,tanh(x),-0.0355594,-0.197469,-0.410202,0.456804,-0.154627,0.217717,0.697236,0.0437946,-0.0279357,-0.156621,0.227017,-0.595828,0.450424,0.226241,0.0471117,-0.177975,-0.701206,0.154695,0.17978,-0.907478,-0.393192,-0.0210957,0.452606,1.10113,-0.152312,0.127949,-0.0263529,0.375077,-0.171069,-0.328806,0.0547776,-0.166646
385,tanh(x),0.0449025,-0.213837,-0.306192,0.413591,-0.180648,0.180613,0.555058,0.0311361,0.0879543,-0.0691386,0.141795,-0.444196,0.408715,0.186875,0.0160791,-0.0626576,-0.494179,0.227124,0.0727675,-0.661594,-0.258672,-0.133937,0.216609,0.84029,-0.109606,0.167171,-0.000510638,0.320693,-0.0776915,-0.370567,0.100792,-0.228568
290,sin(0.5x),-0.0737289,-0.205088,-0.278621,0.293803,-0.0549617,0.168563,0.475088,-0.0892392,0.0171554,-0.23384,0.00168862,-0.395176,0.380494,0.126671,-0.0206196,-0.26944,-0.333686,0.145697,0.131981,-0.65011,-0.305564,-0.0352415,0.21998,0.802326,-0.00698466,0.164936,0.00467375,0.333888,0.079369,-0.305485,0.0336404,-0.206052
709,sin(2x),0.121533,-0.146363,-0.175791,0.286869,-0.123045,0.0547167,0.330876,-0.00974811,0.194172,-0.0088941,0.131631,-0.233467,0.392075,0.239597,0.0166115,0.0101904,-0.352132,0.304294,0.0213726,-0.518581,-0.235821,-0.240998,0.0716037,0.638947,-0.0348931,0.145036,0.146897,0.24963,-0.0002811,-0.347,0.0805757,-0.265725
583,sin(2x),-0.00205345,-0.178785,-0.204687,0.240028,-0.0840002,0.129508,0.365447,-0.107245,0.114003,-0.215222,0.0152033,-0.312858,0.412283,0.206755,-0.0185695,-0.243737,-0.296461,0.237368,0.129422,-0.619817,-0.302685,-0.105662,0.120402,0.76794,-0.0225464,0.189559,0.135559,0.306982,0.108919,-0.349429,0.0256934,-0.245543
854,sin(2x),0.0700586,-0.164479,-0.1524,0.222665,-0.0877634,0.0748564,0.297183,-0.0918027,0.172592,-0.132658,0.0555578,-0.218998,0.409957,0.220338,-0.0156039,-0.142275,-0.261459,0.294288,0.0838714,-0.550804,-0.269873,-0.187248,0.0534211,0.674333,-0.00716092,0.192308,0.171911,0.279791,0.114082,-0.362278,0.0453555,-0.271345
553,sin(2x),0.113223,-0.172077,-0.149242,0.258421,-0.144462,0.0936228,0.296352,-0.049306,0.216018,-0.0760775,0.0730674,-0.226226,0.414369,0.246921,-0.00787525,-0.0642408,-0.290538,0.318944,0.0512533,-0.50482,-0.23055,-0.222766,0.0131384,0.648603,-0.0521925,0.199007,0.172143,0.265479,0.0741472,-0.393971,0.0740415,-0.287657
