id,type,e_0,e_1,e_2,e_3,e_4,e_5,e_6,e_7,e_8,e_9,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_30,e_31
692,sin(0.5x),-0.626882,0.290758,0.137206,0.117501,-0.16364,-0.151369,1.13923,-0.132842,-0.414418,0.924565,0.142431,-0.0404709,-0.344377,0.220322,0.206122,0.141049,0.578805,-0.272042,0.410348,-0.454645,0.783722,0.963749,-0.835101,-1.01539,-0.0514984,0.426287,0.461988,0.387067,-0.0711044,0.87575,-0.038767,-0.636452
196,tanh(x),-0.885514,0.459251,0.277636,0.273154,-0.190178,-0.1734,1.34511,-0.0443562,-0.621039,1.03153,-0.00128961,-0.255667,-0.453581,0.150639,-0.108608,0.0302715,-0.025977,-0.332822,0.303843,-0.695299,0.633095,0.949171,-0.867945,-1.07024,-0.0325733,-0.0276518,0.591621,0.2854,0.143063,1.08909,0.189918,-0.343379
155,sin(0.5x),-0.513513,0.140153,0.135452,0.238363,0.0420198,-0.202113,1.23053,0.059611,-0.344744,0.657891,0.130668,-0.149254,-0.154159,0.139603,-0.0552455,0.0183252,0.183465,-0.237573,0.0831323,-0.479211,0.481115,0.72977,-0.629601,-0.561227,0.0198702,0.147303,0.349333,0.222061,0.114781,0.72865,0.177333,-0.216838
28,sin(0.5x),-0.907925,0.510575,0.287666,0.216597,-0.236553,-0.234056,1.24619,-0.0212523,-0.587517,1.02371,-0.137998,-0.283141,-0.504454,0.152594,-0.140648,0.02798,-0.209516,-0.365499,0.321409,-0.71694,0.634156,0.880397,-0.897782,-1.05409,-0.00776549,-0.14538,0.611454,0.214944,0.138062,1.0038,0.132757,-0.289914
660,tanh(x),-0.858673,0.387677,0.270448,0.284594,-0.149618,-0.273649,1.30396,0.0566787,-0.534282,0.872853,-0.177615,-0.331453,-0.393238,0.126244,-0.216372,-0.025794,-0.350535,-0.348893,0.157278,-0.756073,0.470248,0.749536,-0.79136,-0.77933,0.0613908,-0.260295,0.544656,0.142557,0.220724,0.923096,0.22656,-0.117531
552,tanh(x),-0.573732,0.291398,0.113741,0.182031,-0.0320385,-0.143694,1.16231,-0.0472619,-0.449638,0.846072,0.147581,-0.0459928,-0.337704,0.186107,0.115014,0.115956,0.505507,-0.257618,0.299489,-0.393595,0.72209,0.970093,-0.77352,-0.927072,-0.0275689,0.455935,0.405919,0.405198,-0.00161757,0.724737,-0.0382354,-0.467392
198,tanh(x),-0.78989,0.408552,0.19442,0.145147,-0.234399,-0.162255,1.23066,-0.159601,-0.497526,1.05799,0.110771,-0.0902335,-0.424101,0.211042,0.206766,0.141777,0.468899,-0.303901,0.469544,-0.562747,0.834534,1.03164,-0.91388,-1.17061,-0.0782369,0.34758,0.552171,0.391307,-0.0595408,1.02606,-0.00282476,-0.670638
607,tanh(x),-0.556716,0.223102,0.108591,0.145815,-0.0823866,-0.0939113,1.18164,-0.127976,-0.4205,0.905971,0.264323,0.00627057,-0.285212,0.219336,0.233769,0.163604,0.82173,-0.242015,0.38187,-0.357102,0.803064,1.03151,-0.799233,-1.01293,-0.0642518,0.601361,0.421752,0.453075,-0.0710015,0.853634,-0.0339576,-0.660151
62,sin(0.5x),-0.960803,0.45964,0.267473,0.0985069,-0.227884,-0.5675,1.09842,0.130261,-0.357327,0.783279,-0.627482,-0.426694,-0.462053,0.102563,-0.26479,-0.0388246,-0.748778,-0.397828,0.145307,-0.844811,0.328894,0.453992,-0.838736,-0.530295,0.116617,-0.579234,0.608942,-0.0855656,0.231414,0.767886,0.145669,0.031804
490,sin(0.5x),-0.746127,0.474619,0.113556,-0.0679573,-0.369248,-0.123929,0.975853,-0.34317,-0.504433,1.15404,0.10653,0.111466,-0.567661,0.302032,0.492265,0.311218,1.01977,-0.311707,0.700152,-0.410012,1.08055,1.16596,-1.00227,-1.42745,-0.158127,0.744105,0.612178,0.549094,-0.264663,0.965071,-0.365423,-1.05066
338,sin(0.5x),-0.787628,0.454171,0.180334,0.0916204,-0.299981,-0.156555,1.13333,-0.21083,-0.545396,1.1034,0.0696259,-0.0538966,-0.51169,0.240394,0.24607,0.168533,0.550482,-0.317782,0.555829,-0.538668,0.90026,1.07603,-0.950475,-1.2927,-0.0811923,0.401847,0.581701,0.435254,-0.102258,1.02281,-0.0878114,-0.765021
209,sin(0.5x),-0.98215,0.646302,0.276171,0.157887,-0.2917,-0.204934,1.10699,-0.120238,-0.697913,1.15807,-0.222843,-0.228668,-0.676776,0.198931,0.00578976,0.110724,-0.063255,-0.385655,0.47655,-0.659522,0.802531,1.02735,-0.935222,-1.33759,-0.0432565,0.00820544,0.656688,0.343124,0.0316873,1.02569,-0.0476547,-0.511903
220,tanh(x),-1.06127,0.679268,0.295987,0.15228,-0.404826,-0.150738,1.204,-0.237568,-0.709317,1.33166,-0.0442446,-0.174639,-0.668632,0.218633,0.138542,0.151568,0.213992,-0.375311,0.622009,-0.684154,0.935252,1.17169,-1.0204,-1.56192,-0.112053,0.163363,0.751079,0.414289,-0.0386004,1.26115,-0.00858837,-0.755056
139,sin(0.5x),-0.491633,0.105786,0.113276,0.244936,0.107859,-0.225242,1.24112,0.0891991,-0.273146,0.595361,0.142039,-0.142889,-0.118963,0.134148,-0.0395549,0.0359405,0.221623,-0.221294,0.0350589,-0.438153,0.465672,0.705051,-0.611279,-0.451124,0.00222985,0.220428,0.325388,0.230208,0.115095,0.647737,0.147914,-0.194271
