id,type,e_0,e_1,e_2,e_3,e_4,e_5,e_6,e_7,e_8,e_9,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_30,e_31
692,sin(0.5x),-0.162575,-0.0638258,0.0439897,-0.00693356,0.216295,-0.143286,-0.10093,-0.0449629,-0.124227,0.100346,0.0849171,0.0676474,0.0498636,0.0798506,-0.237798,-0.173545,-0.136289,0.17855,-0.0958947,0.0209103,0.207373,0.0248293,0.0777647,0.0280483,-0.275279,0.0205952,-0.187845,0.0658852,0.0894642,-0.0562737,0.0230357,-0.112665
196,tanh(x),-0.201712,0.051773,0.00648341,0.0478833,0.332313,-0.120843,-0.243599,-0.0298327,-0.285235,0.10042,0.165042,0.126378,0.0657184,0.18859,-0.365212,-0.115266,-0.148842,0.189114,-0.090343,-0.0115755,0.239251,0.077475,0.107609,0.0385402,-0.364956,-0.0300128,-0.249193,0.0820217,0.0732108,-0.107517,0.0794421,-0.184864
155,sin(0.5x),-0.175309,-0.00837259,0.0263696,0.00783686,0.262041,-0.123203,-0.158194,-0.0481211,-0.197045,0.0932676,0.126024,0.0851892,0.0514459,0.123755,-0.29267,-0.141129,-0.134228,0.173683,-0.0925107,-0.00489768,0.209105,0.0478708,0.0879899,0.0267816,-0.308632,-0.00279693,-0.211437,0.0633775,0.086488,-0.0762713,0.0421869,-0.138947
28,sin(0.5x),-0.185707,0.0360357,0.0133801,0.0362886,0.322796,-0.135034,-0.232608,0.00693041,-0.271885,0.101323,0.163069,0.110344,0.0629811,0.168023,-0.356166,-0.117549,-0.14819,0.18027,-0.102779,-0.00402243,0.239484,0.0905428,0.108515,0.0365528,-0.333592,-0.0126588,-0.218046,0.0929781,0.0825882,-0.0905587,0.0876738,-0.190841
660,tanh(x),-0.179231,0.0200542,0.0195536,0.0337334,0.305912,-0.13933,-0.225632,0.00931166,-0.255166,0.101581,0.159,0.106899,0.0615306,0.152843,-0.344246,-0.129059,-0.147034,0.182936,-0.111439,6.86908e-05,0.24286,0.0884228,0.112313,0.03648,-0.318431,-0.00768569,-0.216888,0.0921799,0.0856735,-0.0906843,0.0829337,-0.183844
552,tanh(x),-0.216214,0.0361192,0.00837979,0.0470055,0.317015,-0.115851,-0.21034,-0.0814965,-0.25777,0.103203,0.139236,0.130146,0.0698761,0.182108,-0.348533,-0.13411,-0.153986,0.19849,-0.0730648,-0.00446799,0.224199,0.0421841,0.0955704,0.0400271,-0.387731,-0.0361567,-0.265811,0.0663467,0.0638632,-0.111415,0.0538739,-0.150254
198,tanh(x),-0.205544,0.00439642,0.020661,0.0345701,0.289874,-0.128724,-0.178784,-0.0723862,-0.22043,0.104002,0.121029,0.11524,0.0672977,0.154538,-0.320618,-0.151508,-0.153835,0.196731,-0.0806186,0.00759827,0.219321,0.0351239,0.0904917,0.0374418,-0.36348,-0.0196727,-0.247978,0.0679584,0.0705584,-0.0970975,0.0453465,-0.135927
607,tanh(x),-0.193177,0.0144273,0.0195903,0.0276781,0.297948,-0.128034,-0.189529,-0.0440703,-0.238376,0.0994593,0.14224,0.107277,0.06276,0.154816,-0.33011,-0.137976,-0.148211,0.185845,-0.0947445,-0.0027684,0.220178,0.0541084,0.0963504,0.0355142,-0.347196,-0.0152422,-0.232067,0.0712445,0.0796312,-0.0922536,0.055552,-0.151892
62,sin(0.5x),-0.176099,0.00473446,0.0244961,0.0249398,0.297857,-0.146449,-0.201401,0.0112211,-0.236119,0.104686,0.150406,0.0983746,0.0618102,0.139555,-0.333814,-0.13784,-0.150351,0.180563,-0.113572,0.00737998,0.236332,0.080756,0.106387,0.0346466,-0.312566,0.000275471,-0.206222,0.0926881,0.0893498,-0.0800941,0.0774893,-0.173669
490,sin(0.5x),-0.181274,-0.0210747,0.0325736,0.0122046,0.259862,-0.134919,-0.149515,-0.0479435,-0.187008,0.0992579,0.116394,0.0899873,0.056762,0.121791,-0.289275,-0.157324,-0.143349,0.184362,-0.0957024,0.00800044,0.214392,0.0395933,0.0880518,0.0320041,-0.317521,0.000212738,-0.216307,0.0679403,0.0848966,-0.0776634,0.0394681,-0.131407
