id,type,e_0,e_1,e_2,e_3,e_4,e_5,e_6,e_7,e_8,e_9,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_30,e_31
692,sin(0.5x),-0.279751,0.130238,0.0753035,0.0550866,-0.0731191,-0.0815607,0.388571,-0.0727695,-0.198846,0.3424,0.0729667,-0.0221222,-0.164433,0.118288,0.0961597,0.0663563,0.253755,-0.126677,0.218455,-0.200591,0.3205,0.433221,-0.359961,-0.370956,-0.0253404,0.236135,0.217719,0.183304,-0.0380856,0.342692,-0.0198329,-0.288843
196,tanh(x),-0.351113,0.209796,0.136172,0.13046,-0.0856213,-0.0888749,0.417355,-0.0222286,-0.267704,0.344564,-0.00069293,-0.140794,-0.193559,0.0880514,-0.0532978,0.0128139,-0.0130428,-0.168369,0.166362,-0.283041,0.301414,0.424841,-0.359398,-0.402003,-0.0161251,-0.0157282,0.24282,0.134056,0.0785628,0.417536,0.0913863,-0.159699
155,sin(0.5x),-0.238064,0.0659058,0.0714452,0.111844,0.0202664,-0.105342,0.412786,0.0317606,-0.165855,0.2667,0.0679077,-0.0788535,-0.0746996,0.0740304,-0.0267941,0.00877815,0.0918142,-0.117452,0.044422,-0.218065,0.226501,0.351679,-0.293027,-0.242465,0.00960169,0.0807258,0.162205,0.10647,0.062912,0.310309,0.0866084,-0.108664
28,sin(0.5x),-0.373893,0.181553,0.159284,0.0918572,-0.113053,-0.135313,0.402606,-0.0121519,-0.290876,0.3743,-0.0717024,-0.131442,-0.245993,0.0760014,-0.0578077,0.0154513,-0.102175,-0.143118,0.16489,-0.251542,0.242194,0.403692,-0.403333,-0.372335,-0.00419654,-0.0927236,0.271908,0.108116,0.0732182,0.333928,0.0740637,-0.168183
660,tanh(x),-0.346195,0.17709,0.132544,0.13318,-0.0709074,-0.139322,0.416985,0.0282728,-0.237001,0.318492,-0.0955315,-0.171362,-0.172028,0.0721049,-0.103319,-0.0113496,-0.170528,-0.172775,0.0851452,-0.297233,0.230804,0.355834,-0.34097,-0.33055,0.031079,-0.143725,0.223437,0.0684396,0.121619,0.379498,0.108544,-0.0585062
552,tanh(x),-0.248348,0.159326,0.0554815,0.0953625,-0.0138751,-0.0671372,0.390383,-0.0225881,-0.187325,0.297092,0.0776857,-0.0284517,-0.139278,0.115097,0.0635834,0.0400823,0.232243,-0.148011,0.170863,-0.200697,0.366921,0.435962,-0.309181,-0.375731,-0.0124525,0.216868,0.172976,0.180389,-0.00091444,0.358589,-0.0165644,-0.176948
198,tanh(x),-0.331955,0.177168,0.105155,0.0675469,-0.102522,-0.0877152,0.400566,-0.0864655,-0.234489,0.36478,0.0570943,-0.0497074,-0.198072,0.115915,0.09577,0.0660435,0.212938,-0.140098,0.248993,-0.234615,0.336176,0.45113,-0.382824,-0.405039,-0.0389786,0.200167,0.2509,0.185347,-0.0318184,0.374256,-0.00145719,-0.302277
607,tanh(x),-0.248071,0.112652,0.057038,0.072763,-0.0358218,-0.0474117,0.393852,-0.066395,-0.189675,0.323803,0.134028,0.00369884,-0.129115,0.126117,0.118305,0.0664522,0.331525,-0.126655,0.21117,-0.174409,0.361914,0.454256,-0.332109,-0.379006,-0.0297252,0.293877,0.193066,0.205086,-0.0389418,0.366938,-0.0160735,-0.263584
62,sin(0.5x),-0.402745,0.166524,0.140493,0.0411178,-0.115742,-0.305912,0.401892,0.0735332,-0.19087,0.330008,-0.292474,-0.179764,-0.234822,0.0500658,-0.104282,-0.0234678,-0.323283,-0.146769,0.0740661,-0.275293,0.130554,0.224519,-0.390511,-0.244529,0.0676377,-0.336289,0.27024,-0.0436486,0.117144,0.275703,0.0820382,0.019903
490,sin(0.5x),-0.320229,0.202415,0.0639449,-0.0319644,-0.147528,-0.0682208,0.352492,-0.18783,-0.245699,0.392814,0.0531914,0.0630074,-0.262956,0.163552,0.213259,0.14142,0.360751,-0.133978,0.356893,-0.179096,0.381224,0.490418,-0.402495,-0.442995,-0.0788791,0.393119,0.284317,0.254972,-0.132948,0.357125,-0.187161,-0.400314
338,sin(0.5x),-0.331252,0.193145,0.0980354,0.0428878,-0.127442,-0.0852328,0.383703,-0.114399,-0.255367,0.375933,0.0358287,-0.0298681,-0.23371,0.131715,0.112646,0.078218,0.241744,-0.143279,0.290329,-0.224073,0.349455,0.465011,-0.392455,-0.426653,-0.0408811,0.231883,0.264018,0.205159,-0.0538277,0.372321,-0.0458025,-0.333192
209,sin(0.5x),-0.368359,0.301641,0.128923,0.0804046,-0.123308,-0.100224,0.381978,-0.0569209,-0.282914,0.360814,-0.118531,-0.133755,-0.253454,0.123489,0.00299532,0.0405706,-0.0310876,-0.200426,0.258512,-0.278799,0.378275,0.445641,-0.363288,-0.466456,-0.0214305,0.00463557,0.255171,0.158583,0.0173818,0.434304,-0.0223326,-0.205654
220,tanh(x),-0.399429,0.255672,0.157417,0.0695601,-0.169156,-0.0841794,0.391142,-0.127839,-0.321286,0.40701,-0.0230138,-0.0934305,-0.29053,0.120623,0.061343,0.0722427,0.102385,-0.16066,0.317249,-0.252904,0.350315,0.483054,-0.416065,-0.461179,-0.0583573,0.102735,0.317074,0.197234,-0.0202377,0.400908,-0.00464642,-0.343234
