id,type,series,series_length
1,sin(0.5x),-0.894088522692828 -0.540663687634408 -1.02285939049773 -1.00066756094315 -1.13029580706223 -0.475410078005105 -1.26489150906142 -0.497414027103522 -0.366405624871424 0.114831528975603 0.144636054812276 0.16612224100537 0.813870265052203 0.538730323390879 0.376505805138328 0.695136674124137 0.992303451625207 1.53434087741679 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,18
1,tanh(x),-0.965074619852694 -1.31237446500259 -0.786793757497881 -1.06867606984689 -0.875465967281794 -0.872842026925105 -0.697530427721443 -1.13562266311901 -0.318089818832627 -0.17952408387977 0.237486062015328 0.862311426990013 0.999567696078828 1.03154985085876 1.66747041202822 1.13994088477197 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,16
2,sin(0.5x),-1.31489432100233 -0.723907204508828 -1.17886353367115 -0.905977447459998 -0.887958286950464 -0.574000365773714 -0.752120192890294 -0.946935001558794 -0.858290911265188 -0.88700841136481 -0.272662203640508 -0.531639926573791 0.116084744655649 0.0781911510941131 -0.0722055540822261 0.752583984400345 0.889572842826658 0.511253832932191 0.681577897826748 1.40326650908559 0.42482612504361 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,21
2,tanh(x),-0.624350304722918 -0.437444581804153 -0.506448781649294 -1.04882159118548 -0.807919822948914 -0.970997205833453 -0.954512899736536 -0.773685879756397 -0.77489531434268 -0.155955897223099 0.621864992990311 0.91478729245137 0.715432786734753 1.03393849302242 1.0233254349775 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,15
3,sin(0.5x),-0.396926577070232 -0.583996154625861 -1.69348708673957 -0.973798095256228 0.617188822275769 0.289296804393236 0.56893426933495 0.622290136792039 1.00465582594892 1.11013417970777 0.560055358131489 0.961986828308041 0.311463691332009 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,13
3,tanh(x),-0.845431604877679 -1.2510403345303 -1.01163894775519 -0.382819539087894 -0.678242976044569 -0.790713654452661 -0.966323892815114 -0.728158916909754 0.0349525040530223 0.406925555779936 0.43296034323002 1.47433828626484 0.540613581389561 0.812417178272586 0.973594814870462 0.699053564948645 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,16
4,sin(0.5x),-0.602869878122721 -1.63370765958467 -1.25863500322452 -1.16566032858792 -0.44818441204426 0.00106425258194448 0.104116453569281 0.340026142945645 0.696160191234971 0.981557752649826 1.0034239187974 1.4001242246925 1.33520591498344 0.758352552909476 0.995726233205316 0.870966366850898 1.69058498717045 0.932517714635171 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,18
4,tanh(x),-1.16061172599054 -1.36840995632982 -1.15195498520775 -0.745386014305745 -1.3658755039308 -0.67939547932531 -0.987387697037145 -0.617974544717484 -0.934005522022066 -0.0754814275808414 0.226338309255336 0.9745075809106 1.25909613985723 0.751791203036897 0.822001726055155 1.1437620092975 0.836572332680542 1.01752331013917 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,18
5,sin(0.5x),-0.856563478227425 -0.862706831926528 -0.731463542780721 -0.676778755730492 -0.208126889140436 -0.878625354130849 -0.921712033075432 -1.38729639690071 -1.03400869416294 -1.0193882188777 -0.960662081221734 -0.56529002308357 0.454843286408881 -0.467784331003668 0.0834731644121948 0.246518938197186 0.379129625164925 0.828782973820348 0.97758035117031 1.54528596127749 0.641061197692799 0.757386070601551 1.43339890960295 1.18430398701769 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,24
5,tanh(x),-0.737664579115629 -1.09241796857299 -0.883827970688495 -1.21087960656612 -0.793599018708683 -1.21936398068394 -0.727727680615997 -1.12612495090348 -0.418727577369862 -0.0611861079424269 0.247442068248713 0.00067100713987478 0.402305164757132 0.573048914858153 1.33114500839299 1.23852553828428 0.801268585376923 1.09475614096723 0.969735440884256 0.91648788993653 0.957960696497159 0.586334702884601 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,22
6,sin(0.5x),-0.592848952321983 -1.12518000565734 -1.29802948029532 -1.32680232742927 -0.881955690169949 -0.802373565388973 -0.37603136709388 -0.456065374149378 -0.127181299642884 -0.32131923315946 0.384108932396958 0.633873014498926 1.02737701556697 0.768858545977513 0.407645106550955 1.43449591022191 1.20217521952529 0.818479563583026 0.923909883885078 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19
6,tanh(x),-1.24409012626443 -0.711493959596545 -0.918505893603315 -0.83360752890771 -1.12992263912634 -0.888959642153465 -0.921969598750597 -0.28396201474783 -0.632369679057492 -0.119753276507107 1.0661336303756 0.77222040831987 0.77131039463928 1.01251080241293 1.55355947835894 0.483469721796649 0.96093412656201 1.11803276763256 0.355548277706509 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19
7,sin(0.5x),-0.630141793580656 -0.932317719197651 -0.728913844493867 -0.893861291053655 -0.352649450954782 -0.0317647829927049 -0.539476810558694 0.132819099511878 0.289696335975803 0.320038227299368 0.403235470147505 0.920072442654019 1.38074455537 0.724155448038722 0.53020838861236 1.00587091814202 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,16
7,tanh(x),-0.957078860232597 -1.22472783422388 -0.604991018273188 -0.797876883734941 0.565474946276685 0.463400518263735 0.443064679093743 0.148441493491112 0.91855199533474 1.02724882868593 0.819693178085704 0.689421198816896 1.06050732075395 1.37885726595166 1.18038601163257 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,15
8,sin(0.5x),-1.05883260741855 -1.04539204126804 -0.932739335262909 -1.68012536151526 -0.99122738468135 -1.21501083261925 -0.689918193258126 -0.3095428484621 -0.790819810946093 -0.36294489397744 -0.68511903147539 -0.399775335877801 0.547426379549776 0.37260057704621 1.04297082749151 1.16465954334324 0.68538828596258 0.629642477856089 1.50284294904818 0.973082414883486 0.440272752866921 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,21
8,tanh(x),-1.48455575804816 -0.990941045933666 -1.05399334741584 -1.52915808178922 -1.23982350529139 -0.558363169854354 -0.534679859881311 -0.856505692345551 -0.315485287973933 -0.295742888463437 0.603333065637709 0.399980155369655 1.09033728921379 1.06847263546066 1.6193712821275 0.900227030178628 0.341565586254186 0.862649353118436 1.44858107005223 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19
