id,type,series,series_length
1,sin(0.5x),1.26314072693785 -0.634434797562508 -0.476526391505455 -2.13910077931396 -0.19800650866451 -0.954334436847946 -1.42146698172133 -0.607506687170988 0.792434093094332 -0.193998991643984 1.71856518787215 0.924696451349035 0.00730482699224422 1.00146319926386 0.702310323527968 0.974900052403091 2.54621652387222 0.275606375628125 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,18
1,tanh(x),-1.26449584726526 -1.62843735901618 -1.5214011078844 -1.03856269303896 -1.97029554154649 -0.0683528459731304 -1.68225835759533 -0.364038279483948 -1.08260320261756 0.575575965432866 0.951507788826161 0.941497055571496 -0.571383001583915 0.593266768858413 0.761307966922113 1.35089330723261 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,16
2,sin(0.5x),0.139013441055083 -1.60377303398194 -2.21101448844655 -0.0835128577999056 -1.84679545307385 -1.61285287832806 -1.04412697640349 -0.738798068953946 -1.92355938423605 0.719641062203307 1.96099965612342 0.370855624556272 0.668169314013136 0.728437082264338 -0.475940319716611 0.223531124594616 1.77382992718307 1.45446290151599 0.135953832618305 1.31202760734805 0.387889103865724 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,21
2,tanh(x),-0.306141088388935 -1.61745043382122 0.548741255389289 -2.0854952470416 0.326974942962788 -0.380209677258372 -1.13859166621313 -0.650550941163484 -0.328226730293192 -0.204620521387207 -0.0692678283186382 1.34572625419201 0.873306490537651 1.01445360932304 2.73815513424835 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,15
3,sin(0.5x),-1.80356467108166 -0.130966507446393 -1.70482291210277 0.227435426186197 -0.70188045567044 0.636339126170919 -0.292176324510435 1.55072869623183 -0.811304299065088 0.74130076694371 1.98802773872838 -0.847703853360933 -0.316765787040162 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,13
3,tanh(x),-2.40334612729885 -1.80020247502662 -1.2576220504892 -0.728768259769316 1.91468525269538 -0.611918526435232 -0.825428034790394 -1.16150179005279 1.0064869993974 0.522521299749384 2.12505700141194 1.90941239323059 0.532725968976065 0.261431068452022 1.34748962750532 0.966274457856977 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,16
4,sin(0.5x),-1.55603335224018 -1.45310887683059 -1.02451810000488 -3.01549990702942 1.35405897232779 0.97852096784787 -1.51800379630458 -0.310140729878659 1.97589096314949 0.0612227931724122 2.35529709637245 -0.1131041262134 1.02122919434693 0.779186644203197 1.43978671925548 0.295733395040492 2.44970132835936 0.420916186582036 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,18
4,tanh(x),-0.933777792639326 -1.02122278289526 -3.10031079546182 0.0176220512175 -1.62123952671375 -2.3756369865989 -0.518276369037514 -1.59443633615854 1.73897341247597 0.435818199408244 -0.134848343747673 0.378396875376185 0.805262903677643 2.09198777078016 1.81245902481195 1.04736335651835 -0.474582330120566 0.220200639883169 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,18
5,sin(0.5x),0.271723467496875 -2.3649072571923 -2.83532882887871 -0.0635155727566561 0.118924649546793 -2.07386904964402 -1.46450664722391 -1.39946775852039 -1.39986449210625 -0.246490716102471 0.0653609860640536 0.424003402092813 -0.025472590106536 0.0487657766359947 0.409518996814351 -0.205311086124254 0.467657968725478 1.28828760819969 -1.42796478217337 1.36283085570035 1.3148238550353 2.16057936609672 1.19035038675144 1.68399858956538 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,24
5,tanh(x),-1.18684004916949 -2.52914757675272 -1.77194487792978 -1.43157255735447 -0.687997955351669 -1.50562185503558 -1.21789463219256 -0.500510971193555 -0.135713824127419 -0.604180848650556 1.05566796511201 1.41558790157603 1.38832359535474 1.86058364475233 2.0779905469524 -0.198973192302608 -1.2801724014104 1.26837956467263 2.51032147966365 1.57679516344301 1.40857848703287 -0.114612292728385 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,22
